t,x(t),dx/dt
3.8400000001e+01,3.8020403742e+01,9.8041866964e-01
3.8500000001e+01,3.8118443006e+01,9.8036661829e-01
3.8600000001e+01,3.8216477065e+01,9.8031456123e-01
3.8700000001e+01,3.8314505918e+01,9.8026249848e-01
3.8800000001e+01,3.8412529565e+01,9.8021043002e-01
3.8900000001e+01,3.8510548004e+01,9.8015835586e-01
3.9000000001e+01,3.8608561236e+01,9.8010627599e-01
3.9100000001e+01,3.8706569259e+01,9.8005419041e-01
3.9200000001e+01,3.8804572074e+01,9.8000209911e-01
3.9300000001e+01,3.8902569679e+01,9.7995000211e-01
3.9400000001e+01,3.9000562074e+01,9.7989789939e-01
3.9500000001e+01,3.9098549258e+01,9.7984579095e-01
3.9600000001e+01,3.9196531232e+01,9.7979367680e-01
3.9700000001e+01,3.9294507994e+01,9.7974155692e-01
3.9800000001e+01,3.9392479543e+01,9.7968943132e-01
3.9900000001e+01,3.9490445880e+01,9.7963729999e-01
4.0000000001e+01,3.9588407003e+01,9.7958516294e-01
4.0100000002e+01,3.9686362912e+01,9.7953302016e-01
4.0200000002e+01,3.9784313607e+01,9.7948087164e-01
4.0300000002e+01,3.9882259086e+01,9.7942871739e-01
4.0400000002e+01,3.9980199350e+01,9.7937655741e-01
4.0500000002e+01,4.0078134398e+01,9.7932439169e-01
4.0600000002e+01,4.0176064228e+01,9.7927222023e-01
4.0700000002e+01,4.0273988841e+01,9.7922004302e-01
4.0800000002e+01,4.0371908237e+01,9.7916786008e-01
4.0900000002e+01,4.0469822413e+01,9.7911567138e-01
4.1000000002e+01,4.0567731371e+01,9.7906347694e-01
4.1100000002e+01,4.0665635108e+01,9.7901127675e-01
4.1200000002e+01,4.0763533626e+01,9.7895907081e-01
4.1300000002e+01,4.0861426922e+01,9.7890685911e-01
4.1400000002e+01,4.0959314997e+01,9.7885464166e-01
4.1500000002e+01,4.1057197850e+01,9.7880241844e-01
4.1600000002e+01,4.1155075481e+01,9.7875018947e-01
4.1700000002e+01,4.1252947888e+01,9.7869795474e-01
4.1800000002e+01,4.1350815072e+01,9.7864571424e-01
4.1900000002e+01,4.1448677031e+01,9.7859346797e-01
4.2000000002e+01,4.1546533765e+01,9.7854121594e-01
4.2100000002e+01,4.1644385274e+01,9.7848895813e-01
4.2200000002e+01,4.1742231557e+01,9.7843669455e-01
4.2300000002e+01,4.1840072613e+01,9.7838442520e-01
4.2400000002e+01,4.1937908441e+01,9.7833215007e-01
4.2500000002e+01,4.2035739042e+01,9.7827986916e-01
4.2600000002e+01,4.2133564415e+01,9.7822758247e-01
4.2700000002e+01,4.2231384559e+01,9.7817529000e-01
4.2800000002e+01,4.2329199473e+01,9.7812299174e-01
4.2900000002e+01,4.2427009157e+01,9.7807068769e-01
4.3000000002e+01,4.2524813610e+01,9.7801837786e-01
4.3100000002e+01,4.2622612832e+01,9.7796606223e-01
4.3200000003e+01,4.2720406822e+01,9.7791374081e-01
4.3300000003e+01,4.2818195580e+01,9.7786141360e-01
4.3400000003e+01,4.2915979105e+01,9.7780908058e-01
4.3500000003e+01,4.3013757396e+01,9.7775674177e-01
4.3600000003e+01,4.3111530453e+01,9.7770439716e-01
4.3700000003e+01,4.3209298275e+01,9.7765204674e-01
4.3800000003e+01,4.3307060862e+01,9.7759969051e-01
4.3900000003e+01,4.3404818213e+01,9.7754732848e-01
